nombre,nickname,país,comida_favorita,número_de_la_suerte
Michael,heatherkelly,Malta,pizza,96
Tyrone,dawsonkelly,Congo,helado,76
Anna,jimeneztina,Finland,hamburguesa,61
David,whudson,France,ensalada,74
Amanda,leonbarron,Mayotte,pollo,78
Stephanie,rachel52,Timor-Leste,tacos,6
Christopher,laurahart,Saudi Arabia,pasta,9
Karen,seth51,North Macedonia,pollo,73
Ethan,ywhite,Niger,pollo,84
Thomas,durhamrachel,Bouvet Island (Bouvetoya),hamburguesa,43
Xavier,ohartman,Saint Barthelemy,pasta,59
Trevor,leekaren,Mongolia,hamburguesa,35
Rachel,christopherlittle,Marshall Islands,ensalada,66
Christine,heather20,Bulgaria,hamburguesa,64
Brandon,lindsay26,United States of America,pizza,1
Annette,kshields,Sierra Leone,pasta,43
Marisa,hsnyder,Sweden,pizza,24
Jackie,qsmith,Spain,sushi,44
Kristin,vallen,Guyana,pollo,54
Dwayne,anthony02,Saint Helena,pizza,50
Andrew,qhorton,Cambodia,tacos,51
Cassidy,clarson,Andorra,fruta,11
Jennifer,harrisjeffrey,Korea,tacos,13
Karen,zsnyder,Madagascar,tacos,2
Brianna,teresamitchell,North Macedonia,ensalada,35
Meghan,montgomerymelissa,Wallis and Futuna,pollo,66
Brian,lyonsveronica,Saint Lucia,fruta,14
Kristin,drichard,Benin,ensalada,61
Jeffrey,millermark,French Polynesia,pasta,48
Justin,robertdavis,Bouvet Island (Bouvetoya),hamburguesa,14
Alicia,garciadavid,Tuvalu,pasta,41
Amanda,jasonjohnson,Ireland,sushi,75
Jeff,dawsontammy,Vanuatu,pizza,38
Nathaniel,gina68,Cyprus,tacos,99
Mitchell,saundersanthony,Morocco,pollo,27
Veronica,kathy82,Lao People's Democratic Republic,ensalada,21
Raymond,johnsonjohn,Finland,hamburguesa,33
Logan,veronicarobinson,Jordan,tacos,39
Thomas,toddhunt,Palestinian Territory,chocolate,42
Eric,pwilliams,South Georgia and the South Sandwich Islands,sushi,9
James,anthony61,Morocco,pizza,9
Frank,michelle35,Albania,ensalada,4
Amy,sanderscharles,Liberia,ensalada,26
Beth,stephen59,Tonga,hamburguesa,8
Andrew,sharon33,Russian Federation,fruta,53
James,etate,Saint Martin,hamburguesa,38
Jose,pamelataylor,Libyan Arab Jamahiriya,chocolate,73
Austin,pwilkinson,Togo,pasta,54
Dylan,rhernandez,Cuba,tacos,42
Stephanie,ojones,Jamaica,pollo,25
Richard,katrina85,Barbados,sushi,22
Jason,emilymoreno,Hong Kong,helado,23
Jessica,joseph87,Faroe Islands,ensalada,55
Kevin,vernonperez,Cambodia,fruta,19
Kyle,robert57,Guam,pizza,37
Melanie,richardwalker,Christmas Island,fruta,55
Amy,derickson,United States Minor Outlying Islands,pasta,42
Brittany,egarcia,Tunisia,pasta,58
Amanda,nphillips,South Africa,pollo,40
Samuel,nvaldez,Singapore,fruta,22
April,donald79,Thailand,sushi,13
Donald,francesjohnson,Chile,helado,88
Wendy,urollins,Cyprus,helado,85
Clinton,jeffreydurham,Argentina,sushi,13
Paul,melissa90,Venezuela,tacos,47
Claire,odiaz,Saint Pierre and Miquelon,ensalada,74
Tamara,ztaylor,Sri Lanka,ensalada,43
April,diane65,Monaco,pasta,17
Paula,robert20,Turkmenistan,tacos,43
Joshua,sullivanblake,Sri Lanka,hamburguesa,75
Kenneth,ccallahan,Syrian Arab Republic,pollo,19
Cathy,coreykey,Tunisia,ensalada,96
Jill,beth04,Saint Kitts and Nevis,ensalada,21
Emily,olsonnicholas,Jordan,hamburguesa,33
Peter,hallsamantha,Turkey,hamburguesa,4
Tammy,kimberly13,Slovenia,ensalada,94
Eric,yolanda39,Iraq,ensalada,28
Bryan,katrinacruz,China,sushi,37
Ryan,davidwarren,Bulgaria,sushi,21
Adam,brian42,Egypt,pollo,51
Mark,middletonkaren,Micronesia,fruta,88
Destiny,landerson,Tajikistan,chocolate,50
Louis,sharonsnyder,Hungary,helado,67
Thomas,cgarcia,Jordan,hamburguesa,80
Steven,brittanyhernandez,Guinea,helado,95
Tammy,whitejennifer,Korea,chocolate,71
Yolanda,troy16,Pitcairn Islands,pizza,34
Steve,mccarthysophia,Japan,tacos,26
David,xray,Andorra,sushi,41
John,smithjenna,South Africa,pollo,31
Sarah,williamsisaiah,Jersey,pollo,64
Jonathan,danielsutton,Vanuatu,fruta,42
Paula,dawnjohnson,Seychelles,pizza,99
Ronnie,andrewcarpenter,Yemen,hamburguesa,98
Tiffany,alexander46,Tajikistan,ensalada,25
Karen,hadams,Reunion,helado,67
Michael,natasha90,India,helado,100
Jessica,hicksjustin,Sudan,pizza,53
Kimberly,awilliams,Benin,tacos,50
Maria,leestephen,Zambia,sushi,69
Krystal,robert05,Monaco,tacos,44
Jennifer,davidwatkins,Iceland,fruta,41
Jamie,loristephens,Czech Republic,pollo,80
Amber,ohopkins,Togo,pizza,26
Kathleen,russellteresa,Samoa,helado,31
Robert,dixonaudrey,French Southern Territories,pizza,26
Kelly,elizabethcisneros,Syrian Arab Republic,sushi,14
Nicholas,daniel11,Venezuela,ensalada,40
David,john70,Saint Barthelemy,pollo,95
Devin,hensonkelly,Poland,pizza,25
Wendy,dawsontodd,Barbados,ensalada,28
Benjamin,nbell,Hungary,pollo,82
Sandra,vlloyd,Albania,hamburguesa,5
Ashley,parkershawn,Reunion,hamburguesa,89
Benjamin,keith80,San Marino,sushi,27
Linda,michael87,Grenada,fruta,35
Megan,james64,Venezuela,helado,13
Justin,daniel24,Belgium,ensalada,90
Clayton,karenclay,Eritrea,pizza,46
Joseph,lowelisa,Seychelles,fruta,40
Jackson,melissa12,Equatorial Guinea,tacos,93
Eric,harveyrebecca,Cuba,helado,66
Kristina,elizabeth14,Jordan,fruta,32
Tyler,vanessagutierrez,Kenya,hamburguesa,75
Kevin,bradleylogan,Guam,fruta,48
Andrea,christopherwilliams,Turkey,pasta,1
Rodney,frankarroyo,Guadeloupe,helado,80
Ricky,bcastaneda,Peru,pollo,75
Angelica,wallerthomas,Bermuda,chocolate,83
Derek,millerjill,Serbia,helado,39
Veronica,phillipswesley,Montenegro,hamburguesa,83
Belinda,gabrielspencer,Fiji,chocolate,80
Eric,vargassarah,Croatia,helado,73
Jeffery,shane78,Fiji,ensalada,57
Vanessa,anna86,American Samoa,chocolate,28
Trevor,stephen10,Solomon Islands,fruta,31
Jeffrey,blake27,Mayotte,pasta,89
Michael,frank13,Djibouti,tacos,60
Daniel,ugilbert,Malawi,ensalada,44
Anthony,stephanie68,United States Virgin Islands,ensalada,13
Dean,james12,Uzbekistan,chocolate,13
Chad,eric56,Turkmenistan,helado,40
Jaime,jbaker,Bulgaria,fruta,81
Connor,herreradebra,Guatemala,hamburguesa,81
Peter,lisa45,Sweden,helado,69
Darrell,roberthernandez,Cocos (Keeling) Islands,tacos,16
Kirk,jessica15,Pakistan,hamburguesa,84
Margaret,alexandra24,Latvia,tacos,73
Heather,lmunoz,Greenland,sushi,55
Teresa,vincent57,Korea,fruta,49
Tony,meghanfoley,Lithuania,helado,100
Cathy,michaelchristian,United Arab Emirates,pizza,67
Cody,lori91,Fiji,pizza,58
William,craig15,Kenya,chocolate,83
Suzanne,tyler94,Saint Martin,helado,77
Kimberly,xmiller,Haiti,pasta,16
David,christopher96,Kiribati,chocolate,43
Craig,christophervasquez,Cuba,pollo,11
Patrick,sburton,Moldova,tacos,39
Sydney,david16,Morocco,helado,62
Shelly,johnsjonathan,Kiribati,helado,46
David,taylorsteven,Morocco,pasta,97
Teresa,richardtucker,New Zealand,hamburguesa,80
Tina,stephanie46,Lebanon,pollo,16
Mark,taylorkevin,United Kingdom,fruta,24
Jennifer,walterroberson,Ghana,pizza,89
Michelle,andrewwalton,Swaziland,pizza,20
Stephanie,lynn76,Madagascar,ensalada,14
John,hbeasley,Tunisia,helado,64
Kevin,mathismike,Maldives,ensalada,52
Bradley,joejohnston,Seychelles,tacos,24
Jennifer,qstanley,Svalbard & Jan Mayen Islands,chocolate,34
Anthony,elizabethbrown,Pakistan,ensalada,48
Christopher,phess,Cook Islands,tacos,80
David,mercedes76,Namibia,pasta,32
Sarah,caldwellrachel,Brazil,ensalada,39
Anne,dalton91,Lesotho,pasta,70
Brandy,nicholsonantonio,Cambodia,pizza,24
Michelle,racheldavis,Burkina Faso,chocolate,87
Deborah,austin54,Germany,pasta,44
Anthony,gomezeileen,Canada,pizza,83
Stephen,youngricky,Russian Federation,tacos,88
Theresa,gloverjoseph,Nauru,pollo,99
Scott,stephenweber,Yemen,fruta,83
Shannon,hkelly,Guinea-Bissau,ensalada,60
Don,shawn87,Tajikistan,pasta,69
Michael,masonjoseph,Saint Vincent and the Grenadines,helado,41
Michael,jessicamartinez,Saint Barthelemy,pasta,80
Jennifer,robertjohnson,Niger,chocolate,79
Courtney,xwillis,Lao People's Democratic Republic,tacos,74
Colton,corey03,Spain,hamburguesa,36
Carrie,jennifersmith,Central African Republic,pasta,97
Anthony,moralessteven,Costa Rica,chocolate,42
Allison,madison69,United States of America,fruta,96
Brian,davidjohnson,Anguilla,pollo,50
Hannah,asmith,Seychelles,ensalada,12
Dorothy,wrodriguez,Cambodia,pizza,17
Elizabeth,matthewreed,Barbados,pizza,42
Michael,hstewart,Iceland,pizza,55
Charles,mclaughlinjulie,Denmark,fruta,83
Kristina,margaret64,Azerbaijan,pasta,36
Jeffrey,david68,Faroe Islands,fruta,29
Jeffrey,meghanlyons,Slovenia,helado,13
Courtney,katherinerhodes,Norway,pollo,80
Charles,kenneth73,French Guiana,pasta,15
Leah,qharrington,Tanzania,ensalada,33
Walter,nthompson,Saint Lucia,pasta,56
Julia,michaelmitchell,Bosnia and Herzegovina,fruta,57
Christine,jonesmary,Ecuador,helado,85
Sydney,hallbrent,North Macedonia,fruta,62
Jacqueline,fgreen,Greece,pizza,48
Erin,lowesteven,Turks and Caicos Islands,tacos,3
Anthony,fharris,Morocco,fruta,75
John,fdillon,Cook Islands,fruta,36
Sharon,smithcurtis,Saint Vincent and the Grenadines,chocolate,54
Jason,qfernandez,Palau,helado,21
Rachel,hlane,Falkland Islands (Malvinas),hamburguesa,14
Frederick,clarencebrady,Saint Pierre and Miquelon,pizza,2
William,bradleyaguirre,Saint Barthelemy,ensalada,76
John,egonzalez,Bahamas,tacos,72
Sherry,angela59,Tonga,tacos,5
Thomas,walkerashley,Madagascar,pasta,5
Tiffany,phyllisharris,Heard Island and McDonald Islands,chocolate,69
Robin,znelson,Sao Tome and Principe,ensalada,71
Amanda,michael52,Palestinian Territory,helado,81
Tiffany,bethsweeney,Svalbard & Jan Mayen Islands,fruta,66
Keith,steven45,Pakistan,chocolate,70
Lisa,vanessa96,Macao,hamburguesa,1
Aaron,brandonreynolds,Sudan,pizza,91
James,scottbrian,Samoa,hamburguesa,84
Kaitlyn,tamarakennedy,Lithuania,chocolate,33
Brandy,uadkins,Vietnam,ensalada,25
Matthew,michaelsmith,China,pollo,70
Nicholas,vcampbell,Tokelau,tacos,69
Alyssa,stephen45,Gambia,sushi,8
Linda,jasmine05,Tajikistan,pollo,1
Jamie,vriley,United States Virgin Islands,tacos,79
Andrew,anthonyortega,French Southern Territories,pollo,17
Nancy,gshannon,Mexico,helado,36
Lisa,plarson,Gambia,fruta,80
Randy,zfleming,Greenland,pizza,78
Justin,gardnerjorge,Saint Barthelemy,fruta,70
Caleb,mcooper,Heard Island and McDonald Islands,sushi,46
Stephanie,matthew53,Tajikistan,pizza,71
Erin,vgarcia,Belgium,pizza,25
Michele,catherine24,Albania,sushi,2
Donald,browntodd,Malta,helado,52
Jacob,donnatapia,Eritrea,helado,13
Michael,thompsondustin,Malaysia,hamburguesa,75
Lori,ywheeler,Equatorial Guinea,ensalada,47
David,paula24,United Arab Emirates,fruta,58
Jerome,barkermark,Mayotte,sushi,15
Grant,tphillips,Dominican Republic,helado,40
Alexander,sheryl96,Albania,hamburguesa,51
Tara,andersonchristopher,Nigeria,pizza,31
Joe,phillipgraham,Maldives,ensalada,49
Daniel,fbradley,Russian Federation,hamburguesa,66
Daniel,kirkrichard,Aruba,tacos,2
Amy,heather09,Marshall Islands,pasta,22
Steven,matthewsimon,Costa Rica,helado,80
Chelsey,castrophilip,Cyprus,fruta,79
Jeffrey,patrickgray,Mauritius,chocolate,70
Janet,esanchez,United Arab Emirates,pasta,15
Brandon,rothdylan,Luxembourg,ensalada,12
Tanya,iliu,Heard Island and McDonald Islands,pollo,21
Christopher,scottbell,Wallis and Futuna,chocolate,48
Yesenia,nicholas94,Congo,pollo,51
Richard,andre48,Georgia,ensalada,29
Ashley,brandon62,Belize,pasta,13
Kim,melvin95,Belize,chocolate,36
Jeffrey,murphyjeffrey,Mayotte,sushi,93
Timothy,denisemays,Barbados,pollo,98
Christopher,istone,Saint Kitts and Nevis,pasta,66
Diana,lcollier,Cambodia,hamburguesa,87
Jody,christine74,British Virgin Islands,ensalada,76
Abigail,deborahwalton,Slovakia (Slovak Republic),chocolate,23
Catherine,jjohnson,Heard Island and McDonald Islands,fruta,16
Gregory,fphillips,United States Minor Outlying Islands,hamburguesa,44
Steven,lopezreginald,Saint Vincent and the Grenadines,pizza,88
Ethan,cstout,Saint Barthelemy,fruta,79
Mark,emily82,Vietnam,helado,25
Claudia,jonesjoe,Morocco,hamburguesa,31
Beth,salazarjason,Bermuda,pizza,85
Sean,gary59,Spain,pizza,26
Katherine,scook,Western Sahara,pasta,70
Daniel,ian38,Madagascar,fruta,50
Kaylee,gloveramy,Zambia,helado,86
Danielle,butlerjeremy,Barbados,chocolate,44
Robin,glovervicki,Armenia,pizza,45
William,criley,Nauru,ensalada,55
Joshua,gabriellemedina,Saudi Arabia,hamburguesa,6
Susan,pjensen,Somalia,pasta,69
Miranda,lindajackson,Niue,ensalada,82
Margaret,klinewilliam,Panama,pizza,37
Cynthia,jamesmalone,Afghanistan,chocolate,34
Kelly,richard17,French Polynesia,pollo,20
Jennifer,nicole26,Korea,chocolate,76
Glenn,gregory39,Palau,pasta,79
Shirley,imurray,Micronesia,tacos,59
Parker,jamesday,Uganda,chocolate,47
Kevin,pscott,Honduras,helado,10
Rebecca,scottpamela,Liechtenstein,hamburguesa,60
Jason,wendysmith,Somalia,pasta,38
Jason,micheal87,India,pollo,19
Sarah,ijohnson,Namibia,hamburguesa,6
Justin,astuart,Latvia,chocolate,78
Sarah,kayla72,Belarus,ensalada,33
Dillon,zlopez,Norway,tacos,91
Vincent,alexandramitchell,Saint Barthelemy,hamburguesa,86
Trevor,frankhannah,Norway,tacos,81
Ashley,sgarcia,Mali,helado,82
Paul,jeremyconrad,Zambia,helado,19
Carlos,peggychapman,Luxembourg,pasta,16
Matthew,andrewedwards,El Salvador,tacos,39
Sarah,leslie28,Haiti,ensalada,94
Melinda,shannonperez,Timor-Leste,sushi,63
Laura,pattersonanita,Venezuela,helado,43
Benjamin,laurayoung,Belgium,fruta,75
Shannon,david05,China,chocolate,30
James,lewisjuan,Hong Kong,pizza,74
Christopher,cwalters,Lebanon,helado,68
Charles,danielle45,Netherlands Antilles,pollo,50
Laurie,bergerhailey,Sao Tome and Principe,sushi,16
Timothy,umorgan,Congo,hamburguesa,10
Frank,april60,Ukraine,sushi,70
Jon,baileyelaine,Cocos (Keeling) Islands,chocolate,79
James,psweeney,Albania,ensalada,83
Kevin,thomasedwards,Myanmar,ensalada,66
Zachary,gallison,Aruba,tacos,78
William,brookehebert,Togo,pasta,66
John,robertssusan,Saint Kitts and Nevis,sushi,32
Abigail,jessicalozano,Liechtenstein,hamburguesa,48
Lawrence,wbates,Estonia,pizza,65
Jason,hernandezlisa,Indonesia,tacos,76
Pam,cooleyscott,Lithuania,tacos,91
Joy,ameyers,Isle of Man,pasta,1
Debbie,brent27,Armenia,fruta,37
Geoffrey,erin06,Falkland Islands (Malvinas),ensalada,47
Jennifer,littlejohn,Netherlands Antilles,sushi,79
Tonya,michaellarson,Heard Island and McDonald Islands,hamburguesa,2
Jennifer,lisa41,Mali,pasta,79
Meghan,qbrooks,Wallis and Futuna,sushi,58
Michaela,tamara37,Grenada,sushi,77
Anna,mjoyce,Puerto Rico,hamburguesa,75
Riley,orichardson,Cyprus,chocolate,61
Albert,ngreen,Vanuatu,hamburguesa,11
Bradley,thomassanchez,Estonia,sushi,89
Lisa,blackwellselena,Antigua and Barbuda,pizza,60
Patrick,melindahoward,Tonga,fruta,98
Raven,iferguson,Holy See (Vatican City State),pasta,26
Joseph,hsmith,Slovakia (Slovak Republic),tacos,17
Alice,elara,Venezuela,pollo,96
Kevin,jbell,Zimbabwe,pizza,55
Ryan,freemanaaron,Sudan,pasta,47
Christine,susan43,Guinea,ensalada,73
Kayla,kathryn17,Mauritius,tacos,39
Stephanie,benjaminsimon,Saint Pierre and Miquelon,sushi,2
Teresa,moranjoseph,Denmark,hamburguesa,74
Kevin,amber02,Niger,pizza,35
Maria,brianfletcher,Sierra Leone,pizza,66
Joe,davismaria,France,tacos,69
Alexander,gdavis,Tajikistan,tacos,99
Rodney,potterhector,Fiji,ensalada,54
Sally,rebecca05,Angola,tacos,31
Jason,jeremiah66,Dominica,pizza,44
Jorge,carolyn27,Bulgaria,ensalada,17
Jason,aaron59,British Indian Ocean Territory (Chagos Archipelago),chocolate,72
Andrew,amanda03,Cote d'Ivoire,pollo,95
Theresa,thomas65,Seychelles,sushi,49
Matthew,meagan15,Bouvet Island (Bouvetoya),fruta,70
Douglas,randallwagner,Cambodia,chocolate,94
Dominique,thoffman,Christmas Island,pollo,27
Steven,udeleon,Georgia,chocolate,47
Amanda,edward86,United Arab Emirates,chocolate,4
Steven,awilliams,United States Virgin Islands,tacos,50
Billy,pmartinez,Armenia,sushi,51
Melissa,vgallagher,Chad,pasta,76
Amanda,lindamendez,Bhutan,chocolate,10
Stephen,linda53,Greece,pollo,97
Anthony,tinasanford,New Zealand,tacos,84
Eric,ithornton,San Marino,hamburguesa,5
Matthew,bonnie18,Guernsey,fruta,87
Robert,william77,Tunisia,pizza,8
Elizabeth,crystal83,Paraguay,pasta,39
Sherry,frogers,Gambia,hamburguesa,95
Lisa,ashley07,Kenya,ensalada,85
Joann,lhernandez,Barbados,helado,23
Kenneth,elynch,United Arab Emirates,pollo,79
Ashley,christinemerritt,Ethiopia,fruta,39
Stephanie,pedwards,Algeria,ensalada,99
Gregg,lloydbrianna,Romania,helado,98
Brian,piercejohn,Ethiopia,chocolate,17
Dan,garrett30,Lesotho,pizza,79
Dennis,alexlopez,Syrian Arab Republic,ensalada,91
Deborah,olivia71,Lebanon,pasta,96
Robert,mcummings,Antarctica (the territory South of 60 deg S),ensalada,81
Alexis,willie91,Chile,pasta,44
Carly,acastillo,Saudi Arabia,chocolate,35
Suzanne,sullivanmiranda,Mauritius,fruta,26
Cory,erin96,Spain,helado,23
Ryan,schroederrobert,Heard Island and McDonald Islands,helado,28
Robert,larrysmith,Bulgaria,tacos,85
Elijah,ginaneal,Palestinian Territory,hamburguesa,99
Megan,danielmoore,Pitcairn Islands,hamburguesa,66
Pamela,john06,Bahamas,hamburguesa,87
Anthony,pferguson,Cambodia,tacos,49
Cindy,tuckersandra,Ghana,ensalada,14
Mary,yguerrero,Macao,hamburguesa,31
Michael,jessicapowell,Vietnam,helado,48
James,smithdavid,Togo,chocolate,38
Miguel,jenniferblack,Iraq,helado,74
William,kristinmeyer,Bouvet Island (Bouvetoya),ensalada,72
David,jasonreyes,Holy See (Vatican City State),tacos,42
Austin,fsutton,Pitcairn Islands,tacos,17
Abigail,michaeltorres,Panama,sushi,68
Shannon,william64,Pakistan,pizza,81
Michael,joanwallace,North Macedonia,helado,23
Kelly,zwalter,Liechtenstein,pasta,91
Brent,moniqueberry,Bermuda,ensalada,46
Chad,travis67,Guyana,chocolate,23
Patrick,kathryn31,Hong Kong,pizza,75
Evelyn,zhodges,Argentina,helado,24
Ryan,jimenezlaura,Gambia,chocolate,30
Jessica,gilbertdavid,Timor-Leste,sushi,8
John,victordelgado,Russian Federation,sushi,79
Nicole,adamstaylor,Gibraltar,hamburguesa,31
Daniel,poolejody,Seychelles,pizza,39
Mary,omurphy,Belarus,pizza,54
Jesse,lopezangela,Niue,sushi,62
Sara,annestout,Chad,pizza,55
Christopher,ronald01,Montenegro,fruta,45
Jeffrey,mary06,Cayman Islands,hamburguesa,22
Brenda,scottreyes,El Salvador,hamburguesa,16
Leah,ehart,Luxembourg,chocolate,65
Robert,mgreen,Philippines,ensalada,21
Samantha,nolanphilip,New Caledonia,helado,82
Tamara,morgan66,Martinique,ensalada,16
Colin,powellkevin,American Samoa,chocolate,71
Erin,michaelburke,Iraq,tacos,66
Mitchell,ahill,Eritrea,tacos,72
Connie,jaymartin,Kenya,hamburguesa,94
Douglas,fuentesapril,Namibia,fruta,66
Yolanda,lowechristopher,Ireland,fruta,14
Joan,friedmankatie,Heard Island and McDonald Islands,pollo,7
Eric,ftaylor,New Caledonia,pizza,41
Jacqueline,timothykrueger,Yemen,sushi,54
James,timothy92,Dominica,pizza,82
Robert,luis36,Latvia,sushi,97
Judy,qmurphy,Slovenia,fruta,55
Martin,jenkinsrita,Burkina Faso,pollo,38
Katie,mindyvalenzuela,Saint Helena,fruta,60
Nancy,haydenfrank,Reunion,sushi,89
Michael,smoore,El Salvador,helado,62
Cory,mark93,Bouvet Island (Bouvetoya),fruta,83
Alan,vmclaughlin,Benin,hamburguesa,10
Sherri,williamsandoval,Latvia,helado,53
Ricky,griffithjill,Austria,chocolate,82
Samuel,avaughan,Cape Verde,ensalada,50
Keith,howelladam,Cote d'Ivoire,chocolate,66
Tyler,jramirez,Bosnia and Herzegovina,tacos,93
Joe,vparks,Saint Barthelemy,fruta,84
Joshua,peggy27,South Georgia and the South Sandwich Islands,pollo,78
Chelsea,beckchristie,Brazil,sushi,49
Bonnie,blucero,Timor-Leste,pizza,49
Katherine,jessica97,Macao,pollo,47
Jessica,jessica47,Lao People's Democratic Republic,tacos,80
Brandon,jessica34,Zimbabwe,chocolate,75
Daniel,michael44,Turks and Caicos Islands,chocolate,36
Anna,youngkimberly,Tonga,pizza,86
Claudia,iclark,Tuvalu,pizza,99
Robert,bstephens,Somalia,hamburguesa,97
Nicole,adam17,United States of America,sushi,62
Sonya,wguerrero,Guyana,sushi,8
Natasha,uduke,Indonesia,fruta,73
Daniel,christopherruiz,Mauritania,ensalada,75
Lisa,kayla03,Saint Vincent and the Grenadines,pasta,58
Christina,ronnie13,Turkey,pollo,21
Jason,vstevenson,Dominica,sushi,71
Jonathan,hnelson,French Polynesia,ensalada,52
Jessica,nthompson,Kyrgyz Republic,ensalada,92
Kyle,michael40,Comoros,helado,62
Joshua,hendrixmichele,American Samoa,pollo,78
Sarah,blanchardethan,Brazil,fruta,43
Amanda,hendersonmary,Cambodia,pizza,5
Lisa,karen40,Holy See (Vatican City State),ensalada,81
Omar,michaelperez,Grenada,fruta,49
John,tmcdowell,Netherlands Antilles,pizza,40
Jacob,amandaflores,Madagascar,pasta,70
Leslie,ibonilla,Netherlands,helado,87
Stephanie,hawkinsfrank,Belgium,sushi,53
Austin,john17,South Georgia and the South Sandwich Islands,tacos,66
Monica,corey18,French Polynesia,pizza,99
Michael,laura86,Serbia,ensalada,64
Jessica,amanda67,Falkland Islands (Malvinas),tacos,34
Cathy,iwarren,Maldives,chocolate,55
Jasmine,richardcross,Malawi,helado,61
Juan,helen31,Trinidad and Tobago,pollo,44
Jeffrey,xburch,Turks and Caicos Islands,fruta,46
John,thomasthomas,Honduras,hamburguesa,68
Nathan,robertsmith,Yemen,fruta,66
Ronald,evansjill,Namibia,pasta,2
Tammy,dcohen,Austria,pasta,9
Suzanne,bcollins,Nauru,pollo,9
Brenda,robinsonheather,Monaco,pollo,64
Lisa,hobbsmelissa,Wallis and Futuna,fruta,55
Michael,qtaylor,Hong Kong,tacos,31
Jessica,chawkins,Samoa,fruta,21
Stacy,martinezmarcus,Burundi,helado,77
Brittany,dianabaker,El Salvador,pasta,51
Robert,hernandezeric,France,pollo,75
Sylvia,ryanadams,Maldives,chocolate,42
Tiffany,zowens,Philippines,fruta,94
Kenneth,mitchellmorrow,Liberia,sushi,90
Jonathan,humphreyallen,Macao,chocolate,8
Misty,hwillis,Hong Kong,pasta,5
Brenda,samuel88,San Marino,ensalada,37
Michael,carpentermikayla,Eritrea,pollo,73
Brendan,wdiaz,Pitcairn Islands,sushi,62
Catherine,tpratt,Congo,pasta,67
Travis,iglass,Bulgaria,helado,86
James,andrealopez,Aruba,chocolate,76
Krista,jjones,Austria,chocolate,35
Gregory,rcastillo,Canada,tacos,88
Angela,knguyen,Denmark,pasta,5
David,louisdeleon,Samoa,ensalada,22
Thomas,lmckinney,Northern Mariana Islands,pizza,33
Christopher,hayesadam,British Indian Ocean Territory (Chagos Archipelago),chocolate,83
Jacob,jenniferthomas,Mongolia,sushi,60
Julie,pamela92,Portugal,helado,80
Mitchell,virginia65,Cape Verde,tacos,21
Amber,hawkinsbobby,Djibouti,tacos,2
Barbara,pamela60,Andorra,pizza,39
Scott,theresa27,Algeria,pasta,5
Jade,davidbarton,Tokelau,chocolate,67
Jason,crystalarnold,Armenia,chocolate,49
Lisa,michelle78,United Kingdom,tacos,68
Gary,robertfreeman,Azerbaijan,pasta,22
Jessica,mcgeejacqueline,Saint Barthelemy,pollo,10
Anna,zhernandez,Tuvalu,sushi,12
Alex,jimenezrandy,Guinea,ensalada,64
Misty,laura57,Portugal,ensalada,34
Gloria,samanthabarnes,Portugal,hamburguesa,59
Gregg,mcculloughbenjamin,India,hamburguesa,90
Angela,heidi45,Singapore,tacos,75
Elizabeth,nicholas10,Cook Islands,fruta,6
David,nduncan,Ghana,sushi,53
Elizabeth,greennathan,Tajikistan,chocolate,2
Brenda,bishopjessica,Kazakhstan,helado,96
Lindsey,jennifer65,Norway,pizza,42
Martin,mroberts,Niue,sushi,3
Kathleen,carpentertimothy,Barbados,ensalada,99
Felicia,adam37,Poland,hamburguesa,75
Sean,moorekenneth,Burkina Faso,ensalada,42
Brianna,christopher03,Malaysia,helado,93
Charlotte,millererin,Lao People's Democratic Republic,chocolate,86
David,woodsamy,Lithuania,chocolate,96
Nicholas,kimberlyharper,Kenya,pollo,99
Patricia,kenneth67,Oman,fruta,98
David,abigail50,Angola,tacos,99
Brian,fgibson,Comoros,tacos,56
Jennifer,smithmichael,Grenada,hamburguesa,27
Sue,parkertimothy,Sierra Leone,fruta,92
Haley,donnabeltran,Egypt,sushi,65
Melinda,melissa63,New Caledonia,helado,74
Joseph,jacksonkyle,Uruguay,chocolate,82
Corey,stephanie89,Djibouti,helado,96
Tammy,carla43,Mayotte,pollo,13
Charles,sbrowning,Brunei Darussalam,sushi,47
Anne,danderson,Spain,ensalada,58
Leroy,robertsonlauren,Samoa,fruta,6
Kerri,blevinsjennifer,Northern Mariana Islands,pasta,7
Dana,mariahendricks,Guatemala,pasta,49
Michael,donaldsonzachary,Greece,hamburguesa,79
Barbara,zhernandez,El Salvador,pizza,40
Jessica,jeffreywilson,Central African Republic,pasta,64
Michael,johnweber,Marshall Islands,chocolate,90
Frederick,krystal03,Mali,pasta,11
Glenn,fallen,Svalbard & Jan Mayen Islands,hamburguesa,12
Stephanie,petercaldwell,Peru,pizza,3
Ariana,hodgesedward,Falkland Islands (Malvinas),pollo,55
Antonio,andreajohnson,Georgia,sushi,25
James,qgibson,Cuba,ensalada,92
Amber,kevinmelton,United Arab Emirates,chocolate,31
Jeffrey,iwoodard,French Polynesia,hamburguesa,39
Brian,hannah04,Saint Barthelemy,fruta,16
Gregory,jeremygriffith,Turks and Caicos Islands,pizza,6
Jacob,kevinwhite,Dominican Republic,pizza,95
Jennifer,oneilldiana,Georgia,tacos,18
Rebecca,dbell,Cote d'Ivoire,hamburguesa,3
Nancy,ecarroll,United Arab Emirates,pizza,13
Mark,christinaerickson,Honduras,pasta,93
